iter	Passed	Remaining
579	1323	1353
580	1325	1350
581	1328	1349
582	1331	1347
583	1334	1345
584	1336	1343
585	1338	1340
586	1340	1338
587	1341	1335
588	1344	1333
589	1346	1330
590	1348	1328
591	1350	1325
592	1351	1322
593	1353	1319
594	1355	1316
595	1357	1314
596	1364	1316
597	1367	1315
598	1370	1313
599	1377	1315
600	1379	1313
601	1382	1311
602	1384	1308
603	1385	1305
604	1388	1303
605	1390	1300
606	1391	1297
607	1393	1295
608	1395	1292
609	1396	1289
610	1398	1286
611	1400	1283
612	1403	1281
613	1404	1279
614	1406	1276
615	1408	1273
616	1409	1270
617	1411	1267
618	1413	1264
619	1414	1261
620	1417	1259
621	1419	1257
622	1421	1254
623	1422	1251
624	1424	1248
625	1426	1246
626	1427	1243
627	1429	1240
628	1432	1238
629	1433	1235
630	1435	1233
631	1437	1230
632	1438	1227
633	1440	1224
634	1442	1221
635	1443	1219
636	1447	1217
637	1448	1215
638	1453	1214
639	1455	1212
640	1457	1209
641	1461	1209
642	1463	1206
643	1465	1204
644	1467	1201
645	1469	1198
646	1471	1196
647	1473	1193
648	1475	1191
649	1478	1189
650	1480	1187
651	1482	1184
652	1484	1181
653	1485	1179
654	1489	1178
655	1492	1175
656	1493	1173
657	1495	1170
658	1498	1168
659	1499	1165
660	1501	1163
661	1504	1161
662	1506	1159
663	1508	1156
664	1510	1153
665	1511	1150
666	1513	1148
667	1515	1145
668	1519	1144
669	1522	1142
670	1524	1140
671	1526	1138
672	1528	1135
673	1532	1134
674	1536	1133
675	1538	1130
676	1540	1128
677	1542	1126
678	1544	1123
679	1546	1121
680	1549	1119
681	1551	1116
682	1553	1114
683	1555	1111
684	1557	1109
685	1559	1107
686	1562	1105
687	1564	1103
688	1566	1100
689	1568	1097
690	1569	1095
691	1571	1092
692	1573	1089
693	1575	1087
694	1578	1085
695	1580	1082
696	1581	1080
697	1583	1077
698	1587	1076
699	1590	1074
700	1593	1072
701	1595	1070
702	1596	1067
703	1598	1064
704	1600	1062
705	1601	1059
706	1603	1056
707	1606	1055
708	1609	1053
709	1611	1050
710	1614	1049
711	1616	1046
712	1618	1044
713	1621	1042
714	1623	1040
715	1625	1037
716	1627	1034
717	1629	1032
718	1630	1029
719	1632	1027
720	1635	1025
721	1637	1022
722	1638	1020
723	1640	1017
724	1642	1014
725	1644	1012
726	1646	1009
727	1648	1007
728	1650	1005
729	1652	1002
730	1654	1000
731	1655	997
732	1657	995
733	1659	992
734	1661	990
735	1664	988
736	1666	986
737	1668	983
738	1670	980
739	1671	978
740	1673	975
741	1675	973
